cluster_id,aa_monomers,freq
1,ser,76
1,gln,14
1,glu,14
1,bala,3
1,oh-asn,2
1,arg|leu,1
1,hiv,1
1,me-bala,1
1,noh-ala,1
1,noh-val,1
1,o-iv,1
1,oh-orn|orn,1
2,cys,38
2,ame-ser,1
2,homm-tyr,1
2,ser|thr,1
3,tyr,20
3,phe,17
3,trp,15
3,lys,12
3,dab,9
3,aad,8
3,boh-tyr,6
3,his,6
3,arg,5
3,boh-tyr|tyr,4
3,orn,4
3,3me-asp,3
3,bme-phe,2
3,fo-oh-orn,2
3,phe|trp,2
3,33p-ala,1
3,3me-glu|glu,1
3,3me-tyr,1
3,3me-tyr|ddh-arg,1
3,3oh-gln,1
3,4me-pro,1
3,6cl-trp|trp,1
3,asp|nme-asp,1
3,athr|ser,1
3,bhceala,1
3,btrp,1
3,dhh-tyr,1
3,gln|tyr,1
3,glyco-cya,1
3,met,1
3,nme-asp,1
4,val,62
4,ile,25
4,ile|val,3
4,abu,2
4,3oh-leu,1
4,aile|ile,1
4,ala|val,1
4,bmt,1
4,goh-val,1
4,iso,1
4,nme-gly,1
4,norcma,1
5,thr,56
5,ala,22
5,athr,8
5,dhabu,6
5,di-oh-bz,5
5,di-oh-bz|sal,5
5,athr|thr,4
5,dh-thr,2
5,piz,2
5,ahnpb,1
5,akic,1
5,akiv,1
5,ala|gly,1
5,alaol,1
5,d-lea,1
5,dhabu|dhtyr|thr,1
5,dhdab,1
5,me-dpr,1
5,oh-asp,1
5,pac,1
6,pro,33
6,abu|ival,5
6,pip,5
6,4me-pro|pro,2
6,htyr,2
6,3me-pro,1
6,4oh-pro,1
6,4p-pro,1
6,4pe-pro,1
6,6cl-hic,1
6,ac-phe,1
6,blys,1
6,gac,1
6,gly|nme-gly,1
6,leu|val,1
7,cl2-hpg|hpg,15
7,dhpg,14
7,hpg,12
7,phgly,2
7,2cl-hpg|hpg,1
7,hcn,1
8,asn,35
8,asp,19
8,oh-orn,6
8,hse,2
8,arg|lys,1
8,asn|gln,1
8,asp|bme-asp,1
8,cysa,1
9,leu,63
9,aeo,2
9,ncp-ala,2
9,phe|tyr,2
9,3oh-3me-pro,1
9,4oh-5oh-orn,1
9,ala|leu|val,1
9,kyn,1
9,valol,1
10,gly,55
10,d-ala,2
10,gca,1
