Query name,Predicted enzyme class,Predicted substrate specificity
3HBCL_THAAR_Thauera_aromatica_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
4CL1_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CL2_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CL2_TOBAC_Nicotiana_tabacum_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CL3_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CL4_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CLL1_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CLL5_ARATH_Arabidopsis_thaliana_unknown.other_other_OTHER,ARYL,cinnamate and succinylbenzoate derivatives
4CLL7_ARATH_Arabidopsis_thaliana_C6.through.C11_mediumchain_MACS,ARYL,C6 through C11
4CLL9_ARATH_Arabidopsis_thaliana_unknown.other_other_OTHER,ARYL,cinnamate and succinylbenzoate derivatives
4CLLA_ARATH_Arabidopsis_thaliana_C2.through.C5_shortchain_SACS,ARYL,C2 through C5
4HBCL_RHOPA_Rhodopseudomonas_palustris_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
A0A077KT11_9ACTN_Streptomyces_sp._C2.through.C5_shortchain_NRPS,NRPS,C2 through C5
A0A0A6YYM0_RAT_Rattus_norvegicus_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A0B4J1R2_HUMAN_Homo_sapiens_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A0B4KFE4_DROME_Drosophila_melanogaster_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A0G2JSN9_RAT_Rattus_norvegicus_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
A0A0G2K047_RAT_Rattus_norvegicus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A0G2K125_RAT_Rattus_norvegicus_C6.through.C11_mediumchain_MACS,LACS,C6 through C11
A0A0G2K7J0_RAT_Rattus_norvegicus_C12.through.C17_longchain_LACS,VLACSBILE,C12 through C17
A0A0G2K8G2_RAT_Rattus_norvegicus_C6.through.C11_mediumchain_MACS,LACS,C6 through C11
A0A0H2UKF2_DANRE_Danio_rerio_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A0H2VDD9_ECOL6_Escherichia_coli_C6.through.C11_mediumchain_FAAL,FAAL,C6 through C11
A0A0R4IRL6_DANRE_Danio_rerio_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A140DJY3_9ACTN_Streptomyces_gandocaensis_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
A0A140LHR8_MOUSE_Mus_musculus_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
A0A1I9LR43_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
A0A1P8BCV2_ARATH_Arabidopsis_thaliana_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A286Y8C0_DANRE_Danio_rerio_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A286ZJB9_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A286ZYB0_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_LACS,VLACSBILE,C18 and up or bile acid
A0A287A844_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287A933_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A287ADR8_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A287AIP7_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287AJW1_PIG_Sus_scrofa_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
A0A287ALQ2_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287APD5_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
