cid,cmpnd
175,cids.acetate
137,cids.5-aminolevulinate
54675818,"cids.2,3-dihydroxybenzoate"
6997237,cids.8-hydroxyoctanoate
54675850,cids.salicylate1
168965,cids.cyclohexanecarboxylate
54675830,cids.4-hydroxybenzoate
54693536,cids.6-methylsalicylate
51387508,cids.12-methyltridecanoate
500,cids.4-guanidinobutanoate
4409936,cids.phenylacetate1
446596,cids.mupirocin
83887,cids.D-aspartate
23217,cids.1-heptadecene
9084,cids.malonate
637542,cids.4-coumarate
242,cids.benzoate
49,cids.2-ketoisovalerate
227,cids.anthranilate1
54675842,cids.3-hydroxybenzoate1
4678093,cids.decanoate1
5488588,cids.1-acetyl-3-carboxy-beta-carboline
11005,cids.myristate1
4419940,cids.p-nitrobenzoate
86,cids.3-hydroxyanthranilate1
4592697,cids.2-oxo-3-phenylpropanoate
23736,cids.dimethylsulfoniopropionate1
5316899,cids.dimethylsulfoniopropionate3
985,cids.palmitate
955,cids.2-succinylbenzoate
119389,cids.octanoate
73554357,cids.4-acetamidopyrrole-2-carboxylate
127,cids.p-hydroxyphenylacetate1
54675866,"cids.3,4-dihydroxybenzoate"
6581,cids.acrylate1
4398339,cids.hexanoate
53933915,cids.trichloroleucine
5699,cids.xanthurenate
979,cids.4-hydroxyphenylpyruvate
4328335,cids.quinoxaline-2-carboxylate
21953369,cids.13-methyltetradecanoate
5957728,cids.cinnamate1
4149208,cids.laurate
118796915,cids.19-(4-hydroxyphenyl)nonadecanoate
5280450,cids.linoleate1
4359436,cids.4-chlorobenzoate
689043,cids.caffeate1
3037032,cids.4-hydroxybutyrate
57466721,cids.2-hydroxy-7-methoxy-5-methyl-1-naphthoate
444899,cids.arachidonate1
445639,cids.oleate1
92934,cids.luciferin
5461016,cids.nonanoate1
19813251,cids.malonamate
15944652,"cids.3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate"
10917,cids.(R)-carnitine
563,cids.3-(methylsulfanyl)propanoate1
71080,cids.d-alanine
6288,cids.threonine
239,cids.b-alanine
160603,cids.(S)-2-amino-6-oxohexanoate
145742,cids.L-proline
99288,cids.L-allo-isoleucine
6971017,cids.acetoacetate1
71081,cids.oxalate1
3716971,cids.oxalate3
104775,cids.butyrate1
5459847,cids.3-hydroxypropanoate
86289540,cids.3-oxocholest-4-en-26-oate
5460660,cids.docosanoate
6590,cids.isobutyrate1
5960,cids.L-aspartate
487,cids.methylmalonate
104745,cids.propionate1
22169126,cids.pentadecanoate
445858,cids.ferulate
54675858,cids.vanillate1
446284,cids.eicosapentaenoate1
114781,cids.valerate1
5461021,cids.tetracosanoate
8050,cids.methyldecanoate
637775,cids.sinapate
177747,cids.4-bromobenzoate
3660103,cids.4-iodobenzoate
154342,cids.4-methylbenzoate
3541112,cids.3-hydroxybutyrate1
