"","Precision","Recall","Balanced.Accuracy"
"Class: Ala",0.64,0.53,0.75
"Class: Arg",1,0.5,0.75
"Class: Asn",1,0.91,0.95
"Class: Asp",0.57,0.67,0.82
"Class: Cys",1,0.83,0.92
"Class: Dab",1,1,1
"Class: Dhpg",1,1,1
"Class: Gln",0.29,0.5,0.73
"Class: Glu",1,0.25,0.62
"Class: Gly",0.93,0.87,0.93
"Class: Hpg.Cl2.Hpg",1,0.33,0.67
"Class: Ile",0.75,0.75,0.87
"Class: Leu",0.64,0.6,0.78
"Class: Lys",0.33,0.33,0.66
"Class: Orn",0.83,0.83,0.91
"Class: Phe",0.62,0.83,0.91
"Class: Pro",0.86,0.75,0.87
"Class: Ser",0.73,1,0.99
"Class: Thr",0.88,0.88,0.93
"Class: Trp",0.25,0.17,0.57
"Class: Tyr",0.33,1,0.98
"Class: Val",0.69,0.73,0.85
