,Random Forest,,,Na•ve Bayes,,,Feed Forward Neural Network,,
,Precision,Recall,Balanced.Accuracy,Precision,Recall,Balanced.Accuracy,Precision,Recall,Balanced.Accuracy
Class: median.beta.hydroxyacid,1,1,1,1,1,1,0.83,0.91,0.95
Class: tiny.aa,0.95,1,1,0.95,1,1,0.95,1,1
Class: cysteine.aa,1,0.94,0.97,1,0.94,0.97,1,0.88,0.94
Class: luciferin,1,0.94,0.97,0.9,1,1,0.77,0.94,0.97
Class: small.hydrophobic.aa,0.9,0.93,0.96,0.83,0.93,0.96,0.84,0.93,0.96
Class: aryl.and.biaryl.derivatives,0.8,0.91,0.95,0.83,0.91,0.95,0.81,0.77,0.88
Class: bulky.mainly.phenyl.derivatives.aa,0.86,0.94,0.95,0.84,0.91,0.94,0.84,0.83,0.9
Class: polar.and.charged.aa,0.96,0.9,0.95,0.97,0.9,0.95,0.91,0.86,0.92
Class: cinnamate.and.succinylbenzoate.derivatives,0.72,0.88,0.93,0.7,0.73,0.86,0.72,0.69,0.84
Class: small.hydrophilic.aa,0.95,0.84,0.92,0.97,0.78,0.89,0.84,0.86,0.92
Class: cyclic.aliphatic.aa,0.9,0.82,0.91,0.92,1,1,0.75,0.82,0.91
Class: C12.through.C17,0.55,0.76,0.86,0.52,0.76,0.86,0.48,0.57,0.77
Class: C18.and.up.or.bile.acid,1,0.72,0.86,1,0.72,0.86,0.93,0.72,0.86
Class: C2.through.C5,0.83,0.62,0.81,0.82,0.56,0.78,0.91,0.62,0.81
Class: C6.through.C11,0.83,0.56,0.78,0.62,0.56,0.77,0.5,0.56,0.77
Overall ,0.88,0.85,0.92,0.86,0.85,0.92,0.81,0.8,0.89
