"","Precision","Recall","F1","Balanced.Accuracy"
"Class: Ala",0.57,0.76,0.65,0.85
"Class: Arg",1,0.75,0.86,0.88
"Class: Asn",1,1,1,1
"Class: Asp",1,0.67,0.8,0.83
"Class: Cys",1,1,1,1
"Class: Dab",1,1,1,1
"Class: Dhpg",1,1,1,1
"Class: Gln",0.4,0.5,0.44,0.74
"Class: Glu",0.5,0.25,0.33,0.62
"Class: Gly",1,0.87,0.93,0.93
"Class: Hpg.Cl2.Hpg",1,0.67,0.8,0.83
"Class: Ile",1,0.75,0.86,0.88
"Class: Leu",0.67,0.67,0.67,0.82
"Class: Lys",0.67,0.67,0.67,0.83
"Class: Orn",0.83,0.83,0.83,0.91
"Class: Phe",0.62,0.83,0.71,0.91
"Class: Pro",0.7,0.88,0.78,0.93
"Class: Ser",1,1,1,1
"Class: Thr",0.89,1,0.94,1
"Class: Trp",0.5,0.33,0.4,0.66
"Class: Tyr",1,1,1,1
"Class: Val",0.79,0.73,0.76,0.86
