,Precision,Recall,F1 score,Balanced.Accuracy
Class: aryl.and.biaryl.derivatives,0.8,0.91,0.851461988,0.95
Class: bulky.mainly.phenyl.derivatives.aa,0.86,0.94,0.898222222,0.95
Class: C12.through.C17,0.55,0.76,0.638167939,0.86
Class: C18.and.up.or.bile.acid,1,0.72,0.837209302,0.86
Class: C2.through.C5,0.83,0.62,0.709793103,0.81
Class: C6.through.C11,0.83,0.56,0.668776978,0.78
Class: cinnamate.and.succinylbenzoate.derivatives,0.72,0.88,0.792,0.93
Class: cyclic.aliphatic.aa,0.9,0.82,0.858139535,0.91
Class: cysteine.aa,1,0.94,0.969072165,0.97
Class: luciferin,1,0.94,0.969072165,0.97
Class: median.beta.hydroxyacid,1,1,1,1
Class: polar.and.charged.aa,0.96,0.9,0.929032258,0.95
Class: small.hydrophilic.aa,0.95,0.84,0.891620112,0.92
Class: small.hydrophobic.aa,0.9,0.93,0.914754098,0.96
Class: tiny.aa,0.95,1,0.974358974,1
,,,,
,,,,
,F1 score,,,
Class: aryl.and.biaryl.derivatives,0.851461988,,,
Class: bulky.mainly.phenyl.derivatives.aa,0.898222222,,,
Class: C12.through.C17,0.638167939,,,
Class: C18.and.up.or.bile.acid,0.837209302,,,
Class: C2.through.C5,0.709793103,,,
Class: C6.through.C11,0.668776978,,,
Class: cinnamate.and.succinylbenzoate.derivatives,0.792,,,
Class: cyclic.aliphatic.aa,0.858139535,,,
Class: cysteine.aa,0.969072165,,,
Class: luciferin,0.969072165,,,
Class: median.beta.hydroxyacid,1,,,
Class: polar.and.charged.aa,0.929032258,,,
Class: small.hydrophilic.aa,0.891620112,,,
Class: small.hydrophobic.aa,0.914754098,,,
Class: tiny.aa,0.974358974,,,
