,Precision,Recall,F1,Balanced.Accuracy
Class: tiny.aa,1,1,1,1
Class: luciferin,1,0.94,0.97,0.97
Class: cysteine.aa,1,0.92,0.96,0.96
Class: median.beta.hydroxyacid,0.92,1,0.96,1
Class: small.hydrophobic.aa,0.93,0.9,0.91,0.94
Class: bulky.mainly.phenyl.derivatives.aa,0.9,0.91,0.9,0.95
Class: polar.and.charged.aa,0.88,0.92,0.9,0.95
Class: cyclic.aliphatic.aa,0.82,0.93,0.87,0.96
Class: small.hydrophilic.aa,0.9,0.81,0.85,0.9
Class: aryl.and.biaryl.derivatives,0.68,0.86,0.76,0.92
Class: C18.and.up.or.bile.acid,0.86,0.67,0.75,0.83
Class: C13.through.C17,0.72,0.77,0.74,0.87
Class: cinnamate.and.succinylbenzoate.derivatives,0.55,0.73,0.63,0.85
Class: C6.through.C12,1,0.41,0.58,0.71
Class: C2.through.C5,0.6,0.55,0.57,0.77
Overall,0.851,0.821,0.823,0.905
