,Precision,Recall,Balanced.Accuracy,F1 score
Class: ARYL,0.7,0.98,0.92,0.816666667
Class: BLS,1,1,1,1
Class: FAAL,0.92,0.8,0.9,0.855813953
Class: LACS,0.88,0.78,0.88,0.826987952
Class: LUCIFERASE,1,0.95,0.97,0.974358974
Class: MACS,1,0.11,0.56,0.198198198
Class: NRPS,0.97,1,1,0.984771574
Class: SACS,1,0.67,0.83,0.80239521
Class: VLACSBILE,0.89,0.89,0.94,0.89
,,,,
,,,,
,,,,
,,,,
,,,,
,F1 score,,,
Class: BLS,1.00,,,
Class: NRPS,0.98,,,
Class: LUCIFERASE,0.97,,,
Class: VLACSBILE,0.89,,,
Class: FAAL,0.86,,,
Class: LACS,0.83,,,
Class: ARYL,0.82,,,
Class: SACS,0.80,,,
Class: MACS,0.20,,,
