Class name,Class size,,,,,,,,,,,,,,,,,
polar.and.charged.aa,265,,Class name,polar.and.charged.aa,small.hydrophobic.aa,bulky.mainly.phenyl.derivatives.aa,small.hydrophilic.aa,C12.through.C17,aryl.and.biaryl.derivatives,cinnamate.and.succinylbenzoate.derivatives,C2.through.C5,median.beta.hydroxyacid,cyclic.aliphatic.aa,tiny.aa,C18.and.up.or.bile.acid,luciferin,C6.through.C11,cysteine.aa
small.hydrophobic.aa,240,,Class size,265,240,212,173,121,93,93,79,72,68,63,59,59,52,51
bulky.mainly.phenyl.derivatives.aa,212,,,,,,,,,,,,,,,,,
small.hydrophilic.aa,173,,,,,,,,,,,,,,,,,
C12.through.C17,121,,,,,,,,,,,,,,,,,
aryl.and.biaryl.derivatives,93,,,,,,,,,,,,,,,,,
cinnamate.and.succinylbenzoate.derivatives,93,,,,,,,,,,,,,,,,,
C2.through.C5,79,,,,,,,,,,,,,,,,,
median.beta.hydroxyacid,72,,,,,,,,,,,,,,,,,
cyclic.aliphatic.aa,68,,,,,,,,,,,,,,,,,
tiny.aa,63,,,,,,,,,,,,,,,,,
C18.and.up.or.bile.acid,59,,,,,,,,,,,,,,,,,
luciferin,59,,,,,,,,,,,,,,,,,
C6.through.C11,52,,,,,,,,,,,,,,,,,
cysteine.aa,51,,,,,,,,,,,,,,,,,
