pmid,bgcs
17185223,BGC0000014
17919655,BGC0000023
13174453;770405;11079808;14700630;15038705;15612710;15645471;15812854;16292785;17718517;17763486;17765264;18458342;20798054;21280577;21678538;22799266;23606628;24402879;24973817;20662518,BGC0000024
23362147,BGC0000028
21173184,BGC0000032
14652074,BGC0000034
24014395,BGC0000042
23801186,BGC0000051
15844935,BGC0000052
15257441,BGC0000054
11336289;24704088;23902230;21175699;18836015;18223111;17369815;16491356;15575696;15303858;12904561;12435693;10559177;9613575;9563840;9493390;9393448;9353926;7737500;7749919;8300527;8448148;8449313;8416893;1618327;1840640;2234082;2185216;2681144;2575703;2469627,BGC0000055
10413619;11728154;12423021;12620260;14602658;16536629;17483290,BGC0000062
18375156,BGC0000063
23360970;23633564;23844627,BGC0000081
12811466;20348291,BGC0000093
12583909,BGC0000102
21330439,BGC0000108
17763486;19651421;24402879;11897600;5593974;11560371;20094652;23968564,BGC0000110
15328113,BGC0000111
15797213;17539640;18223152;18387946;19702337;20704329,BGC0000112
17827660,BGC0000118
17827660;19670201;21513878;23521145;23744829,BGC0000119
12819191,BGC0000123
11094342,BGC0000125
21642985,BGC0000135
15123265,BGC0000138
20081823,BGC0000140
9387157;12889805,BGC0000141
22156425,BGC0000144
17379718,BGC0000157
16707708;18708355;19281218,BGC0000159
8449312,BGC0000163
18404760,BGC0000164
24595070,BGC0000172
24815182;21139626,BGC0000175
16707694,BGC0000176
11495990;12770824;15583005;15726184;16039529;17383964;17713071;20013982;21318358;24625190,BGC0000182
25489112,BGC0000187
17722122,BGC0000196
24038656,BGC0000199
19928906,BGC0000202
24043447,BGC0000208
23800859,BGC0000209
21342468;21244022;17768249;16391039;15255901;15112992,BGC0000210
24838618,BGC0000213
23024027,BGC0000216
24162851;17704772;11137817;770404,BGC0000220
8654997;9150235;10102355;11254130,BGC0000246
10650222,BGC0000252
17085966,BGC0000268
19908837;1577660;21965680;24022606,BGC0000269
12115055,BGC0000270
16208464,BGC0000291
15289555,BGC0000294
20863139;17524987;18614525,BGC0000298
25140825,BGC0000299
21699219,BGC0000300
9384377;19383706,BGC0000309
