X1,X2
3aminononanoate,C9 - C12
4chlorobenzoate,aryl_and_biaryl_derivatives
benzoate,aryl_and_biaryl_derivatives
phenylacetate,phenylacetate
phenylacetate,phenylacetate
4coumarate,cinnamates_succinylbenzoates
2succinylbenzoate,cinnamates_succinylbenzoates
4coumaratecaffeate,cinnamates_succinylbenzoates
phenylacetate,phenylacetate
benzoate,aryl_and_biaryl_derivatives
anthranilate,aryl_and_biaryl_derivatives
2succinylbenzoate,cinnamates_succinylbenzoates
2succinylbenzoate,cinnamates_succinylbenzoates
anthranilate,aryl_and_biaryl_derivatives
4coumarate,cinnamates_succinylbenzoates
4coumarate,cinnamates_succinylbenzoates
phenylacetate,phenylacetate
2succinylbenzoate,cinnamates_succinylbenzoates
2succinylbenzoate,cinnamates_succinylbenzoates
4hydroxybenzoate,aryl_and_biaryl_derivatives
salicylate,salicylate_derivatives
benzoate,aryl_and_biaryl_derivatives
nicotinicacid,salicylate_derivatives
4hydroxybenzoate,aryl_and_biaryl_derivatives
phenylacetate,phenylacetate
caffeate4coumaratecinnamate,cinnamates_succinylbenzoates
4coumarateferulatecaffeatecinnamate,cinnamates_succinylbenzoates
4coumarateferulatesinapatecaffeate,cinnamates_succinylbenzoates
4chlorobenzoatebenzoate4bromobenzoate4iodobenzoate4methylbenzoate,aryl_and_biaryl_derivatives
phenylacetate,phenylacetate
phenylacetate,phenylacetate
phenylacetate,phenylacetate
benzoate,aryl_and_biaryl_derivatives
4chlorobenzoate,aryl_and_biaryl_derivatives
4hydroxybenzoate,aryl_and_biaryl_derivatives
3hydroxybenzoate,aryl_and_biaryl_derivatives
4hydroxybutyrate,C2 - C4
salicylate,salicylate_derivatives
2hydroxy7methoxy5methyl1naphthoate,aryl_and_biaryl_derivatives
4coumarate,cinnamates_succinylbenzoates
benzoatevanillateferulate,cinnamates_succinylbenzoates
benzoate,aryl_and_biaryl_derivatives
laurate,C9 - C12
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
194hydroxyphenylnonadecanoate,C18+_and_bile_acids
194hydroxyphenylnonadecanoate,C18+_and_bile_acids
longchain,C13 - C17
linoleate,C18+_and_bile_acids
octanoate,C5 - C8
octanoate,C5 - C8
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
myristatepalmitate,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
palmitate,C13 - C17
dodecanoate,C9 - C12
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
longchain,C13 - C17
