V1,bgc,accs,product,organism
BGC0001830|c1|4354-5472|-|AKG06372.1|aminotransferase_DesV|AKG06372.1,BGC0001830,AKG06372.1,"rosamicin, salinipyrone A, pacificanone A",Salinispora pacifica
BGC0001831|c1|2452-4230|-|MXAN_6636|AMP-binding_protein|ABF92798.1,BGC0001831,MXAN_6636,"alkylpyrone-407, alkylpyrone-393",Myxococcus xanthus DK 1622
BGC0001838|c1|16253-27655|+|AFJ23826.1|WLIP_synthetase_C|AFJ23826.1,BGC0001838,AFJ23826.1,WLIP,Pseudomonas putida
BGC0001838|c1|3354-16256|+|AFJ23825.1|WLIP_synthetase_B|AFJ23825.1,BGC0001838,AFJ23825.1,WLIP,Pseudomonas putida
BGC0001848|c1|52031-53602|+|MicB006_2938|long-chain_acyl-CoA_synthetase|AXO35219.1,BGC0001848,MicB006_2938,"diazaquinomycin H, diazaquinomycin J",Micromonospora sp. B006
BGC0001848|c1|9355-10671|-|MicB006_2901|phenylacetate-coenzyme_A_ligase|AXO35182.1,BGC0001848,MicB006_2901,"diazaquinomycin H, diazaquinomycin J",Micromonospora sp. B006
BGC0001850|c1|20204-21775|-|StrepF001_25970|acyl-CoA_synthetase|RZB16713.1,BGC0001850,StrepF001_25970,"diazaquinomycin A, diazaquinomycin E, diazaquinomycin F, diazaquinomycin G",Streptomyces sp. F001
BGC0001856|c1|155569-158616|-|QBF51786.1|Nrps|QBF51786.1,BGC0001856,QBF51786.1,"caniferolide A, caniferolide B, caniferolide C, caniferolide D",Streptomyces caniferus
BGC0001856|c1|175848-176930|-|QBF51795.1|putative_arylcarboxylate_reductase|QBF51795.1,BGC0001856,QBF51795.1,"caniferolide A, caniferolide B, caniferolide C, caniferolide D",Streptomyces caniferus
BGC0001856|c1|183926-185251|-|QBF51802.1|ATP-dependent_acyl-CoA_synthetase|QBF51802.1,BGC0001856,QBF51802.1,"caniferolide A, caniferolide B, caniferolide C, caniferolide D",Streptomyces caniferus
BGC0001857|c1|15342-27878|+|QBE85649.1|BuaA|QBE85649.1,BGC0001857,QBE85649.1,burnettramic acid A,Aspergillus sp. CLMG-2019a
BGC0001872|c1|2107-2856|-|XBJ1_2946|hypothetical_protein|CBJ82070.1,BGC0001872,XBJ1_2946,fabclavine-polyamine,Xenorhabdus bovienii SS-2004
BGC0001877|c1|15427-19242|-|FS847_01805|amino_acid_adenylation_domain-containing_protein|TXD00259.1,BGC0001877,FS847_01805,cyphomycin,Streptomyces sp. ISID311
BGC0001877|c1|41507-48664|-|FS847_01910|AMP-binding_protein|TXD00261.1,BGC0001877,FS847_01910,cyphomycin,Streptomyces sp. ISID311
BGC0001881|c1|30235-42858|+|QCS37521.1|pyiS|QCS37521.1,BGC0001881,QCS37521.1,pyrichalasin H,Pyricularia grisea
"BGC0001884|c1|16731-19034|+|DAB41914.1|ArzL_-_PKS_(FAAL,_ACP)|DAB41914.1",BGC0001884,DAB41914.1,"aranazole A, aranazole B, aranazole C, aranazole D",Fischerella sp. PCC 9339
BGC0001885|c1|31485-35111|+|DAC76731.1|methionyl-tRNA_formyltransferase|DAC76731.1,BGC0001885,DAC76731.1,oxazolepoxidomycin A,Streptomyces sp. NRRL F-4335
BGC0001890|c1|2-1612|+|VIBHAR_01379|hypothetical_protein|ABU70356.1,BGC0001890,VIBHAR_01379,"amphi-enterobactin 1, amphi-enterobactin 2, amphi-enterobactin 3, amphi-enterobactin 4",Vibrio campbellii ATCC BAA-1116
BGC0001890|c1|20109-21728|+|VIBHAR_01399|hypothetical_protein|ABU70375.1,BGC0001890,VIBHAR_01399,"amphi-enterobactin 1, amphi-enterobactin 2, amphi-enterobactin 3, amphi-enterobactin 4",Vibrio campbellii ATCC BAA-1116
