entry_name,organism,protein_names,likely_substrate,substrate_group,functional_class,bgcs,pmid,cmpnd,pdb_id,kinetics,ec_numbers
FAA28_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Long-chain-fatty-acid--AMP ligase FadD28 (FAAL) (EC 6.2.1.-) (Acyl-AMP synthetase),laurate,long_chain,FAAL,NA,9634230; 19099550; 10573420; 11279114; 15042094; 20844580; 21969609; 19182784; 22206988,NA,3E+53,"NA",EC 6.2.1.-
FAA32_MYCMM,Mycobacterium marinum (strain ATCC BAA-535 / M),Long-chain-fatty-acid--AMP ligase FadD32 (FAAL) (EC 6.2.1.-) (Acyl-AMP synthetase),long_chain,long_chain,FAAL,NA,18403782,NA,5EY9,"NA",EC 6.2.1.-
FAA32_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Long-chain-fatty-acid--AMP ligase FadD32 (FAAL) (EC 6.2.1.-) (Acyl-AMP synthetase),long_chain,long_chain,FAAL,NA,9634230; 15042094; 19099550; 21969609; 22206988,NA,5HM3,"NA",EC 6.2.1.-
FAA26_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Long-chain-fatty-acid--AMP ligase FadD26 (FAAL) (EC 6.2.1.-) (Acyl-AMP synthetase),long_chain,long_chain,FAAL,NA,9634230; 11279114; 15042094; 21969609,NA,"NA","NA",EC 6.2.1.-
FAA30_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Long-chain-fatty-acid--AMP ligase FadD30 (FAAL) (EC 6.2.1.-) (Acyl-AMP synthetase),long_chain,long_chain,FAAL,NA,9634230; 15042094; 19099550; 21969609,NA,"NA","NA",EC 6.2.1.-
MBTM_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Long-chain-fatty-acid--[acyl-carrier-protein] ligase MbtM (EC 6.2.1.20) (Fatty acyl-[acyl-carrier-protein] synthetase) (Fatty acyl-ACP synthetase) (Mycobactin synthetase protein M),long_chain,long_chain,FAAL,NA,9634230; 12065475; 12480891; 16461464; 21969609,NA,"NA","NA",EC 6.2.1.20
AAE15_ARATH,Arabidopsis thaliana (Mouse-ear cress),"Long-chain-fatty-acid--[acyl-carrier-protein] ligase AEE15, chloroplastic (EC 6.2.1.20) (Acyl-[acyl-carrier-protein] synthetase) (Acyl-activating enzyme 15)",long_chain,long_chain,FAAL,NA,16262711; 9461215; 10617198; 27862469; 14593172; 12177484; 12805634; 19376835,NA,"NA","NA",EC 6.2.1.20
FAA29_MYCMM,Mycobacterium marinum (strain ATCC BAA-535 / M),4-hydroxyphenylalkanoate adenylyltransferase (EC 6.2.1.51) (Acyl-AMP synthase) (Long-chain-fatty-acid--AMP ligase FadD29) (FAAL),19-(4-hydroxyphenyl)nonadecanoate,long_chain,FAAL,NA,18403782; 25561717,NA,"NA","NA",EC 6.2.1.51
FAA29_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),4-hydroxyphenylalkanoate adenylyltransferase (EC 6.2.1.51) (Acyl-AMP synthase) (Long-chain-fatty-acid--AMP ligase FadD29) (FAAL),19-(4-hydroxyphenyl)nonadecanoate,long_chain,FAAL,NA,9634230; 15042094; 20553505; 21969609,NA,"NA","NA",EC 6.2.1.51
O53903_MYCTU,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Probable fatty-acid-AMP ligase FadD24 (Fatty-acid-AMP synthetase) (Fatty-acid-AMP synthase),long_chain,long_chain,FAAL,NA,9634230; 21969609,NA,"NA","NA","NA"
ECDI_ASPRU,Aspergillus rugulosus (Emericella rugulosa),Fatty-acyl-AMP ligase ecdI (EC 6.2.1.-) (Echinocandin B biosynthetic cluster protein I),linoleate,long_chain,FAAL,NA,22998630,NA,"NA","NA",EC 6.2.1.-
Q5ZTD3_LEGPH,Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513),Saframycin Mx1 synthetase B,octanoate,medium_chain,FAAL,NA,15448271; 21185305,NA,3KXW,"NA","NA"
A0A0H2VDD9_ECOL6,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Putative saframycin Mx1 synthetase B,octanoate,medium_chain,FAAL,NA,12471157; 21185305,NA,3PBK,"NA","NA"
Q8GN86_9BURK,Alcaligenes sp. AL3007,4-chlorobenzoyl CoA ligase,4-chlorobenzoate,aryl,ARYL,NA,12732540; 15236575; 18027984; 18620418; 19320426,NA,1T5D,"NA","NA"
Q13WK3_PARXL,Paraburkholderia xenovorans (strain LB400),Benzoate-CoA ligase (EC 6.2.1.25),benzoate,aryl,ARYL,NA,17030797; 17884091; 23076154,NA,2V7B,"NA",EC 6.2.1.25
B4E7B5_BURCJ,Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315)),Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase),phenylacetate,aryl,ARYL,NA,18931103; 21388965,NA,2Y27,"NA",EC 6.2.1.30
B4EL89_BURCJ,Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315)),Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase),phenylacetate,aryl,ARYL,NA,18931103; 21388965,NA,2Y4O,"NA",EC 6.2.1.30
Q941M3_POPTO,Populus tomentosa (Chinese white poplar),4-coumarate:CoA ligase,4-coumarate,aryl,ARYL,NA,20841425,NA,3A9U,"NA","NA"
MENE_STAAN,Staphylococcus aureus (strain N315),2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase),2-succinylbenzoate,aryl,ARYL,NA,11418146;,NA,3IPL,"NA",EC 6.2.1.26
